"ID","Módulo","Caso de prueba","Técnica de prueba","Tipo de prueba","Prioridad","Riesgo asociado","Precondición","Datos de entrada","Pasos","Resultado esperado","Resultado obtenido","Estado","Observaciones"
"CP-US-001","Usuarios","Registrar usuario con todos los campos completos","Caja negra","Funcional","Media","Falla en alta de usuarios","Formulario UpUsers disponible","name=Juan; last_name_p=Perez; last_name_m=Lopez; domicilio=Av. Central 123; tel=987654321","1. Abrir Usuarios. 2. Pulsar Nuevo. 3. Completar todos los campos. 4. Pulsar Registrar.","El sistema registra el usuario, muestra mensaje de exito y limpia los campos del formulario.","Pendiente de ejecución.","Diseñado","Corresponde al flujo real de registro."
"CP-US-002","Usuarios","Intentar registrar usuario con al menos un campo vacío","Partición de equivalencia","Funcional","Media","Ingreso de datos incompletos","Formulario UpUsers disponible","name=vacio; last_name_p=Perez; last_name_m=Lopez; domicilio=Av. Central 123; tel=987654321","1. Abrir Usuarios. 2. Pulsar Nuevo. 3. Dejar al menos un campo vacio. 4. Pulsar Registrar.","El sistema muestra el mensaje 'Debe llenar todos los campos.' y no registra el usuario.","Pendiente de ejecución.","Diseñado","La validacion real agrupa todos los campos en una sola condicion."
"CP-US-003","Usuarios","Registrar usuario con teléfono que contiene letras","Caja negra","Funcional","Media","Datos de contacto inconsistentes","Formulario UpUsers disponible","name=Ana; last_name_p=Rojas; last_name_m=Diaz; domicilio=Calle 5; tel=98AB765","1. Abrir Usuarios. 2. Pulsar Nuevo. 3. Completar todos los campos. 4. Ingresar letras en Telefono. 5. Pulsar Registrar.","El sistema registra el usuario porque solo valida que el campo Telefono no este vacio.","Pendiente de ejecución.","Diseñado","Describe el comportamiento actual observado en UpUsers."
"CP-US-004","Usuarios","Buscar usuarios por nombre ingresando texto en el buscador","Caja negra","Funcional","Media","Falla en recuperación de datos","Existen usuarios registrados","criterio=Juan","1. Abrir modulo Usuarios. 2. Escribir un texto en el buscador. 3. Pulsar Buscar.","La tabla se limpia y se recarga con el resultado de DAOUsersImpl.listar(texto).","Pendiente de ejecución.","Diseñado","El filtro real se aplica por nombre usando LIKE."
"CP-US-005","Usuarios","Eliminar usuario con fila seleccionada","Caja negra","Funcional","Media","Eliminación incorrecta de registros","Existe al menos una fila visible en la tabla de usuarios","Fila seleccionada con ID valido","1. Abrir modulo Usuarios. 2. Seleccionar una fila. 3. Pulsar Borrar.","El sistema elimina el usuario mediante DAOUsersImpl.eliminar() y remueve la fila del JTable.","Pendiente de ejecución.","Diseñado","Flujo real implementado en deleteButtonActionPerformed."
"CP-US-006","Usuarios","Intentar eliminar o editar usuario sin seleccionar fila","Tabla de decisión","Funcional","Media","Acciones sobre filas no seleccionadas","Modulo Usuarios abierto","Ninguna fila seleccionada","1. Abrir modulo Usuarios. 2. Sin seleccionar fila, pulsar Borrar. 3. Sin seleccionar fila, pulsar Editar.","Al pulsar Borrar se muestra mensaje para seleccionar uno o mas usuarios. Al pulsar Editar se muestra mensaje para seleccionar el usuario a editar.","Pendiente de ejecución.","Diseñado","Ambos mensajes existen en la vista Users."
"CP-LB-001","Libros","Registrar libro con todos los campos completos","Caja negra","Funcional","Media","Falla en alta de libros","Formulario UpBooks disponible","title=Clean Code; date=2008; author=Robert Martin; category=Programacion; edit=Pearson; lang=ES; pages=464; description=Libro tecnico; ejemplares=Primera edicion; stock=5; available=5","1. Abrir Libros. 2. Pulsar Nuevo. 3. Completar todos los campos. 4. Pulsar Subir.","El sistema registra el libro, muestra mensaje de exito y limpia los campos del formulario.","Pendiente de ejecución.","Diseñado","Corresponde al flujo real de alta."
"CP-LB-002","Libros","Intentar registrar libro con al menos un campo vacío","Partición de equivalencia","Funcional","Media","Ingreso de datos incompletos","Formulario UpBooks disponible","title=vacio; resto de campos completos","1. Abrir Libros. 2. Pulsar Nuevo. 3. Dejar al menos un campo vacio. 4. Pulsar Subir.","El sistema muestra el mensaje 'Debe llenar todos los campos.' y no registra el libro.","Pendiente de ejecución.","Diseñado","La validacion real se aplica a todos los campos del formulario."
"CP-LB-003","Libros","Intentar registrar libro con stock no numérico","Partición de equivalencia","Funcional","Media","Error en captura de inventario","Formulario UpBooks disponible","stock=cinco; available=3","1. Abrir formulario de libro. 2. Completar campos obligatorios. 3. Ingresar valor no numerico en Stock. 4. Pulsar Subir.","El sistema muestra el mensaje indicando que Stock y Disponibles deben ser numeros enteros.","Pendiente de ejecución.","Diseñado","Validacion real basada en Utils.isNumeric."
"CP-LB-004","Libros","Intentar registrar libro con disponibles no numérico","Partición de equivalencia","Funcional","Media","Error en captura de inventario","Formulario UpBooks disponible","stock=5; available=tres","1. Abrir formulario de libro. 2. Completar campos obligatorios. 3. Ingresar valor no numerico en Disponibles. 4. Pulsar Subir.","El sistema muestra el mensaje indicando que Stock y Disponibles deben ser numeros enteros.","Pendiente de ejecución.","Diseñado","Valida la segunda rama del mismo control."
